"Root","RelativePath","FullPath","Status","Detail"
"Repo","ASSISTANT.bat","C:\Users\alexa\Documents\ConventionDeNommage\ASSISTANT.bat","OK","1667 octets"
"Repo","INSTALL.bat","C:\Users\alexa\Documents\ConventionDeNommage\INSTALL.bat","OK","186 octets"
"Repo","install_assistant.ps1","C:\Users\alexa\Documents\ConventionDeNommage\install_assistant.ps1","OK","24409 octets"
"Repo","lib\System.Data.SQLite.dll","C:\Users\alexa\Documents\ConventionDeNommage\lib\System.Data.SQLite.dll","OK","381952 octets"
"Repo","lib\SQLite.Interop.dll","C:\Users\alexa\Documents\ConventionDeNommage\lib\SQLite.Interop.dll","OK","1626624 octets"
"Repo","lib\qpdf\bin\qpdf.exe","C:\Users\alexa\Documents\ConventionDeNommage\lib\qpdf\bin\qpdf.exe","OK","19456 octets"
"Repo","runtime\poppler\pdftotext.exe","C:\Users\alexa\Documents\ConventionDeNommage\runtime\poppler\poppler-24.08.0\Library\bin\pdftotext.exe","OK","56832 octets"
"Repo","runtime\ImportExcel\ImportExcel.psd1","C:\Users\alexa\Documents\ConventionDeNommage\runtime\ImportExcel\ImportExcel.psd1","OK","7316 octets"
"Repo","runtime\ImportExcel\EPPlus.dll","C:\Users\alexa\Documents\ConventionDeNommage\runtime\ImportExcel\EPPlus.dll","OK","1298432 octets"
"Repo","src\Main.ps1","C:\Users\alexa\Documents\ConventionDeNommage\src\Main.ps1","OK","6340 octets"
"Repo","src\LaunchAssistant.ps1","C:\Users\alexa\Documents\ConventionDeNommage\src\LaunchAssistant.ps1","OK","3751 octets"
"Repo","src\ODM\PdfPlanningOptimizer\Extractors\PdfTextNormalizer.ps1","C:\Users\alexa\Documents\ConventionDeNommage\src\ODM\PdfPlanningOptimizer\Extractors\PdfTextNormalizer.ps1","OK","3374 octets"
"Repo","src\ODM\PdfPlanningOptimizer\Extractors\CnsPdfTextNormalizer.ps1","C:\Users\alexa\Documents\ConventionDeNommage\src\ODM\PdfPlanningOptimizer\Extractors\CnsPdfTextNormalizer.ps1","ABSENT","Fichier ou dossier introuvable"
"Repo","config\centres.json","C:\Users\alexa\Documents\ConventionDeNommage\config\centres.json","OK","1314 octets"
"Repo","runtime\ImportExcel\EPPlus.dll","C:\Users\alexa\Documents\ConventionDeNommage\runtime\ImportExcel\EPPlus.dll","OK","1298432 octets"
"Package","ASSISTANT.bat","C:\Users\alexa\Documents\ConventionDeNommage\package\ASSISTANT.bat","ABSENT","Fichier ou dossier introuvable"
"Package","INSTALL.bat","C:\Users\alexa\Documents\ConventionDeNommage\package\INSTALL.bat","ABSENT","Fichier ou dossier introuvable"
"Package","install_assistant.ps1","C:\Users\alexa\Documents\ConventionDeNommage\package\install_assistant.ps1","ABSENT","Fichier ou dossier introuvable"
"Package","lib\System.Data.SQLite.dll","C:\Users\alexa\Documents\ConventionDeNommage\package\lib\System.Data.SQLite.dll","ABSENT","Fichier ou dossier introuvable"
"Package","lib\SQLite.Interop.dll","C:\Users\alexa\Documents\ConventionDeNommage\package\lib\SQLite.Interop.dll","ABSENT","Fichier ou dossier introuvable"
"Package","lib\qpdf\bin\qpdf.exe","C:\Users\alexa\Documents\ConventionDeNommage\package\lib\qpdf\bin\qpdf.exe","OK","19456 octets"
"Package","runtime\poppler\pdftotext.exe","C:\Users\alexa\Documents\ConventionDeNommage\package\runtime\poppler\poppler-24.08.0\Library\bin\pdftotext.exe","OK","56832 octets"
"Package","runtime\ImportExcel\ImportExcel.psd1","C:\Users\alexa\Documents\ConventionDeNommage\package\runtime\ImportExcel\ImportExcel.psd1","ABSENT","Fichier ou dossier introuvable"
"Package","runtime\ImportExcel\EPPlus.dll","C:\Users\alexa\Documents\ConventionDeNommage\package\runtime\ImportExcel\EPPlus.dll","ABSENT","Fichier ou dossier introuvable"
"Package","src\Main.ps1","C:\Users\alexa\Documents\ConventionDeNommage\package\src\Main.ps1","ABSENT","Fichier ou dossier introuvable"
"Package","src\LaunchAssistant.ps1","C:\Users\alexa\Documents\ConventionDeNommage\package\src\LaunchAssistant.ps1","ABSENT","Fichier ou dossier introuvable"
